tweet_timestamp,count,sent_-2,sent_-1,sent_0,sent_1,sent_2,emo_A,emo_F,emo_H,emo_S,valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity
2020-09-28,73374.0,3007.0,39511.0,12107.0,18254.0,495.0,20792.0,17326.0,18749.0,4400.0,0.4599883064845879,0.4389562651620453,0.4398126720636714,0.299544034671682,0.4136599204077684
2020-09-29,93272.0,3799.0,50448.0,15256.0,23106.0,663.0,26072.0,22372.0,23769.0,5803.0,0.4599668603653799,0.4381681426365843,0.4382305622266023,0.3015581096148933,0.4137401042113373
2020-09-30,106871.0,5048.0,60326.0,16223.0,24578.0,696.0,35623.0,22933.0,25274.0,6818.0,0.4538582777367102,0.4365445911425898,0.4475111208840561,0.2913543898719021,0.4164745908618816
2020-10-01,86468.0,3356.0,45816.0,13943.0,22642.0,711.0,24383.0,19214.0,23353.0,5575.0,0.46372395568303,0.4349963223389012,0.4382255053892849,0.3034926099828788,0.4118201415552568
2020-10-02,233644.66666666666,9023.333333333334,134871.66666666666,37994.666666666664,50687.666666666664,1067.3333333333333,87861.66666666667,43880.0,51755.0,12153.333333333334,0.4523822072831269,0.43354692505396136,0.45593673264053214,0.28939144742044604,0.4135614738194933
2020-10-05,271851.0,13734.0,163631.0,41497.0,52004.0,985.0,104946.0,57632.0,52989.0,14787.0,0.445027595999267,0.4397862799842606,0.4604562830373995,0.2875459093400461,0.4190392052999707
2020-10-06,247285.0,10780.0,147631.0,39903.0,48102.0,869.0,92204.0,52563.0,48971.0,13644.0,0.4483393735972816,0.4356863052752837,0.4560915178842196,0.2908183715146485,0.4166618719291451
2020-10-07,186320.0,6847.0,106974.0,30904.0,40816.0,779.0,66601.0,37497.0,41595.0,9723.0,0.4551974291541396,0.4297693913696866,0.4489152533276105,0.2971744364534114,0.410451910691285
2020-10-08,209843.0,6935.0,123226.0,36443.0,42516.0,723.0,76119.0,41443.0,43239.0,12599.0,0.4543423750137014,0.4225008029812885,0.444411555305628,0.2979550711722491,0.4042514117697568
2020-10-09,113011.0,4209.0,63939.0,18850.666666666668,25441.0,571.3333333333334,40170.666666666664,21737.0,26012.333333333332,6240.333333333333,0.45626885714838533,0.4279458946904236,0.4464153626333614,0.3007222403591188,0.40919314604045276
2020-10-12,117028.0,4441.0,64311.0,19659.0,27883.0,734.0,39690.0,22469.0,28617.0,6593.0,0.4595365211744082,0.4259340243360508,0.444063044741419,0.304416156817174,0.4085069470554079
2020-10-13,119104.0,4207.0,63588.0,20363.0,30303.0,643.0,36717.0,24594.0,30946.0,6484.0,0.4628269243686174,0.4286630171950619,0.4398774180548087,0.3069926282912446,0.4065673025255276
2020-10-14,116330.0,4399.0,62034.0,19856.0,29294.0,747.0,35709.0,23799.0,30041.0,6925.0,0.4622591678844662,0.430874589529785,0.4403738588498225,0.3036133241640145,0.4092713487492401
2020-10-15,104392.0,3471.0,54759.0,18044.0,27448.0,670.0,31573.0,20955.0,28118.0,5702.0,0.4652676258717084,0.4282379396888661,0.4380905624952108,0.3073619913403351,0.4062135891639212
2020-10-16,84883.66666666667,3134.3333333333335,45990.333333333336,14484.333333333334,20736.666666666668,538.0,27268.0,16871.666666666668,21274.666666666668,4985.0,0.4607877780774461,0.42718096465402633,0.44125135955972183,0.30676551879635333,0.4085458152369495
2020-10-19,98206.0,3949.0,53034.0,16300.0,24042.0,881.0,30842.0,20859.0,24923.0,5282.0,0.4606513349489838,0.4317477038062827,0.4405098771969049,0.3029251573223617,0.4090089709386396
2020-10-20,103146.0,3894.0,56318.0,16720.0,25495.0,719.0,31646.0,22834.0,26214.0,5732.0,0.460511168634743,0.4325373451224386,0.439963760107027,0.3031775056715722,0.409569513117329
2020-10-21,102467.0,3853.0,56319.0,16705.0,24913.0,677.0,29974.0,24099.0,25590.0,6099.0,0.4597192657148209,0.435862345926002,0.4388293694555313,0.3016617447568495,0.4109142065250277
2020-10-22,100543.0,3570.0,53934.0,16580.0,25755.0,704.0,29226.0,22355.0,26459.0,5923.0,0.463349472365058,0.4321245138895735,0.4364200988631795,0.3058832340391715,0.4080581840605535
2020-10-23,97497.66666666667,4463.666666666667,56143.333333333336,15380.0,20961.333333333332,549.3333333333334,32912.333333333336,21728.0,21510.666666666668,5966.666666666667,0.45167904392696395,0.4377560791011252,0.4486146925628986,0.2954202677066698,0.4160193835845873
2020-10-26,116794.0,4506.0,65471.0,19724.0,26515.0,578.0,38453.0,24779.0,27093.0,6745.0,0.456522972070475,0.4318255047348254,0.4440042296693315,0.3031624569755253,0.4116414370601222
2020-10-27,122521.0,4996.0,67368.0,20500.0,29048.0,609.0,38840.0,26438.0,29657.0,7086.0,0.4576504844067544,0.433197231494999,0.4431117604328927,0.3013055639441395,0.4122107148978431
2020-10-28,141755.0,6408.0,77607.0,22762.0,34020.0,958.0,45252.0,30305.0,34978.0,8458.0,0.4569998871291979,0.4322803075729158,0.444629473387175,0.303552347359879,0.4128554336707664
2020-10-29,115559.0,4570.0,62631.0,19000.0,28554.0,804.0,35271.0,25423.0,29358.0,6507.0,0.4604805683676696,0.4326540641576925,0.4406137470902313,0.3051877309426375,0.4097617667165574
2020-10-30,107592.0,4825.0,61581.0,16622.0,23868.333333333332,695.6666666666666,36351.0,23130.0,24564.0,6925.0,0.4528845625298738,0.4367487911902848,0.45059948672275957,0.30044292478005646,0.41772113543905126
2020-11-02,101334.0,4560.0,57639.0,15775.0,22755.0,605.0,32815.0,23000.0,23360.0,6384.0,0.4536545187202755,0.4398048631259033,0.4478692048078646,0.2965935421477468,0.4173086032328764
2020-11-03,92564.0,3441.0,50889.0,15218.0,22481.0,535.0,28875.0,19418.0,23016.0,6037.0,0.4598102069919188,0.4332750205263487,0.4425453632081582,0.3041079685406914,0.4130155892139458
2020-11-04,89442.0,4138.0,49687.0,14958.0,20189.0,470.0,30576.0,16934.0,20659.0,6315.0,0.4548573265356252,0.4316205362134074,0.447816596229957,0.2984066881330892,0.4155510833836407
2020-11-05,103791.0,3982.0,58203.0,17293.0,23788.0,525.0,33601.0,20942.0,24313.0,7642.0,0.4575290921178129,0.4312938983148764,0.4429590330568151,0.3027949822238904,0.4128517790559863
2020-11-06,110506.33333333333,4462.333333333333,61790.0,18284.333333333332,25190.333333333332,779.3333333333334,37295.333333333336,20207.333333333332,25969.666666666668,8749.666666666666,0.45742183729956043,0.4253622378364586,0.44312464464430995,0.3054209329887274,0.41211717174015083
2020-11-09,138138.0,4465.0,69089.0,23203.0,40039.0,1342.0,40348.0,25616.0,41381.0,7590.0,0.4716431467083694,0.4246428354254477,0.4318519451562956,0.3128739159391299,0.4000551622290781
2020-11-10,114545.0,4558.0,59956.0,19099.0,30104.0,828.0,32980.0,24572.0,30932.0,6962.0,0.4636679994761867,0.4319922039373084,0.4360596970622915,0.3076642542232314,0.4073341481513793
