tweet_timestamp,count,sent_-2,sent_-1,sent_0,sent_1,sent_2,emo_A,emo_F,emo_H,emo_S,valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,High,Low,Volume,Diff,DiffChange,Return,Return5,MA1030,MA30100,Break30,Vol20,Label
2020-01-28,9327.0,0.0451377720596118,0.6573389085450841,0.1429184089203388,0.1510667953253993,0.0035381151495657,0.1871984560952074,0.4876165969765197,0.1546049104749651,0.0276616275329688,0.4380823415889354,0.4952004931918087,0.4455385440120082,0.2876622708266323,0.4248262034952288,1194.68994140625,1184.3499755859375,202157900,10.3399658203125,1.0,0.4771134005315715,-2.326380475803683,1.0,1.0,0.0,0.6170343786713447,-1
2020-01-29,14628.0,0.0533223954060705,0.6285890073831009,0.1589417555373256,0.1562756357670221,0.0028712059064807,0.1940114848236259,0.4617856166256494,0.1591468416735028,0.026114301339896,0.4373539786710418,0.49412195788898,0.4484904293136451,0.2900090921520372,0.4285326086956522,1195.0699462890625,1186.43994140625,166189700,8.6300048828125,-1.0,-0.279019912421172,-2.713913547308351,1.0,1.0,0.0,0.6025410406159626,-1
2020-01-30,15063.0,0.0488614485826196,0.6404434707561575,0.1435305052114452,0.1645090619398526,0.0026555135099249,0.1955785700059749,0.4694947885547367,0.1671645754497776,0.0242315607780654,0.4389251809068578,0.4935765119830047,0.4461605257916749,0.2899471552811525,0.4266650733585607,1179.3800048828125,1167.3399658203125,199618700,12.0400390625,1.0,-0.7753698096405235,-2.9878057428369944,1.0,1.0,0.0,0.6219437217540129,-1
2020-01-31,11608.666666666666,0.0444495491873887,0.6367943490495607,0.1466720266467581,0.1687532303451444,0.0033308447711479,0.1947108482168494,0.4616952851317981,0.1720840751162924,0.0248377648883018,0.4417259634468517,0.4880819215456058,0.4442445632942664,0.2902904957243261,0.4231035061592097,1173.199951171875,1150.3699951171875,228459400,22.8299560546875,1.0,-1.985832942188662,-3.2926913104965427,1.0,1.0,-1.0,0.7488707568795476,1
2020-02-03,8758.0,0.0454441653345512,0.6169216716145238,0.1567709522722082,0.1760675953414021,0.0047956154373144,0.1541447819136789,0.4839004338890157,0.1808632107787166,0.0243206211463804,0.444985613153688,0.4944709979447362,0.4375061657912765,0.2931447819136789,0.4227978990637132,1172.6300048828125,1161.1099853515625,207902400,11.52001953125,1.0,0.9255133689613296,-1.652574031176838,-1.0,1.0,0.0,0.7659879055342043,1
2020-02-04,7946.0,0.0484520513465894,0.6072237603825824,0.156934306569343,0.181978353888749,0.0054115278127359,0.1554241127611376,0.4770953939088849,0.187389881701485,0.0231563050591492,0.4452772464132897,0.4911312610118298,0.4404831361691417,0.2920914925748804,0.4228628240624213,1189.56005859375,1173.52001953125,190636800,16.0400390625,1.0,1.697521919442022,-0.4580329819449074,-1.0,1.0,0.0,0.847081474125488,1
2020-02-05,4716.0,0.02735368956743,0.611323155216285,0.1656064461407972,0.1914758269720101,0.0042408821034775,0.0945716709075487,0.5220525869380831,0.1957167090754877,0.0220525869380831,0.4517671755725191,0.5042765055131467,0.4306800254452926,0.2937237065309584,0.4261999575911789,1211.81005859375,1189.7099609375,239323700,22.10009765625,1.0,1.967217946946037,1.7841725671328057,-1.0,1.0,0.0,0.9475344933856312,1
2020-02-06,6989.0,0.0406352840177421,0.6600372013163542,0.140506510230362,0.1549577908141365,0.003863213621405,0.1287737873801688,0.5460008584919158,0.1588210044355415,0.0258978394620117,0.4362685648876807,0.5116764916297039,0.4441236228358849,0.281545285448562,0.4367777936757762,1213.97998046875,1203.7099609375,204505700,10.27001953125,-1.0,0.1109610696250894,2.693366735895904,-1.0,1.0,0.0,0.9393938015711532,-1
2020-02-07,7646.333333333333,0.0421552813984916,0.656175073019748,0.136928375256114,0.1604254762631326,0.0043157940625136,0.1566764026330703,0.5132743362831859,0.1647412703256462,0.0283796155019835,0.4368418224734196,0.5001329566609042,0.4443292982813419,0.2839214335543,0.4340806209043716,1210.0400390625,1197.6099853515625,193759200,12.4300537109375,1.0,-0.808901939696733,3.926484464585687,-1.0,1.0,0.0,0.9537545023801334,1
2020-02-10,7239.0,0.045724547589446,0.6474651194916425,0.1453239397706865,0.1562370493162038,0.0052493438320209,0.1740571902196436,0.4921950545655477,0.1614863931482248,0.0269374222958972,0.4370596767509324,0.4930342588755352,0.4470397845006216,0.2856749551042962,0.4290494543445227,1205.449951171875,1193.969970703125,181177400,11.47998046875,-1.0,0.5119793331311162,3.5006541951554864,-1.0,1.0,0.0,0.9599899455719056,1
2020-02-11,8589.0,0.0356269647223192,0.5977412970078007,0.1756898358365351,0.1877983467225521,0.0031435557107928,0.1981604377692397,0.4107579462102689,0.1909419024333449,0.0244498777506112,0.4496446617766911,0.4711228315286995,0.4376476889044126,0.2988481779019676,0.4112716264990103,1213.9200439453125,1207.72998046875,153550400,6.1900634765625,-1.0,0.6155516931671676,2.3995002621438783,-1.0,1.0,0.0,0.963622102443508,1
2020-02-12,7777.0,0.0329175774720329,0.5890446187475891,0.1796322489391796,0.1946766105181946,0.0037289443230037,0.2085637135142085,0.3858814452873859,0.1984055548411984,0.0275170374180275,0.4535904590459045,0.4630902661694741,0.4343371480005144,0.3045661566156615,0.4083356049890703,1219.8699951171875,1209.68994140625,206225100,10.1800537109375,-1.0,0.1385234345961145,0.5630531375965779,-1.0,1.0,0.0,0.957891338610067,-1
