,Date,High,Low,Volume,Diff,DiffChange,Return,Return5,MA1030,MA30100,Break30,Vol20,Label
116,2020-07-14,1205.18994140625,1174.6800537109375,168604900,30.5098876953125,1.0,1.957326385351315,1.451017544256884,1.0,1.0,0.0,1.152914334460687,1
117,2020-07-15,1222.219970703125,1210.1600341796875,169326600,12.0599365234375,-1.0,1.3180627090462167,2.7708695807870076,1.0,1.0,1.0,1.0719366011961162,-1
118,2020-07-16,1217.5899658203125,1208.6099853515625,132124800,8.97998046875,-1.0,-0.17060846413832914,3.442238218455799,1.0,1.0,0.0,1.0734807580600652,1
119,2020-07-17,1237.75,1221.739990234375,166856600,16.010009765625,-1.0,1.3647629986933003,5.085315189657822,1.0,1.0,1.0,1.093338610765569,-1
120,2020-07-20,1240.75,1229.719970703125,148808100,11.030029296875,-1.0,-0.00972667835913014,4.522190910562488,1.0,1.0,0.0,1.087785152115021,-1
121,2020-07-21,1242.3199462890625,1230.1800537109375,145206800,12.139892578125,-1.0,-0.05512980292802488,2.459108860769767,1.0,1.0,0.0,1.0809558821255785,1
122,2020-07-22,1245.5,1231.72998046875,203727700,13.77001953125,-1.0,0.850047491646015,1.9858228461545009,1.0,1.0,1.0,1.0875726815423028,-1
123,2020-07-23,1252.3800048828125,1233.97998046875,186069500,18.4000244140625,1.0,-0.4077650210008853,1.7435434310155227,1.0,1.0,0.0,0.8698824094068793,-1
124,2020-07-24,1238.6300048828125,1216.56005859375,157395500,22.0699462890625,1.0,-1.1112195497038149,-0.7416913832810966,1.0,1.0,0.0,0.9186403218721616,1
125,2020-07-27,1236.4300537109375,1219.6700439453125,151744700,16.760009765625,-1.0,0.7243650553449474,-0.01297346466319164,1.0,1.0,0.0,0.8516708071758886,-1
126,2020-07-28,1239.8599853515625,1230.219970703125,174252200,9.6400146484375,-1.0,-0.142696936469578,-0.1005775336642154,1.0,1.0,0.0,0.8534814277603335,1
127,2020-07-29,1250.0799560546875,1234.6500244140625,178128400,15.429931640625,-1.0,1.0814892651409438,0.1286826410386585,1.0,1.0,1.0,0.8050009245324458,-1
128,2020-07-30,1237.969970703125,1223.1400146484375,159829500,14.8299560546875,-1.0,-0.7678972567884117,-0.23338942565992277,1.0,1.0,0.0,0.8334724008183351,-1
129,2020-07-31,1234.9300537109375,1212.969970703125,198475300,21.9600830078125,1.0,-0.551247663733787,0.33155329914423576,1.0,1.0,0.0,0.8439367114448143,1
130,2020-08-03,1245.3800048828125,1234.02001953125,173233300,11.3599853515625,-1.0,1.0426719507036943,0.6486188395387894,1.0,1.0,0.0,0.8457749184249681,-1
131,2020-08-04,1241.4000244140625,1228.449951171875,157629900,12.9500732421875,-1.0,-0.45110525458217227,0.3377665502784922,1.0,1.0,0.0,0.8249649703186697,1
132,2020-08-05,1243.8199462890625,1238.68994140625,163976100,5.1300048828125,-1.0,0.49117941536956444,-0.24820000333378112,1.0,1.0,0.0,0.8259200001404036,-1
133,2020-08-06,1245.43994140625,1226.1199951171875,165739900,19.3199462890625,1.0,-0.5741391917699998,-0.053427190754437984,1.0,1.0,0.0,0.8119675818640739,1
134,2020-08-07,1239.2099609375,1230.3499755859375,149780100,8.8599853515625,-1.0,0.3539231399830824,0.8562747161391687,1.0,1.0,0.0,0.8051403021205602,-1
135,2020-08-10,1240.239990234375,1231.5999755859375,141606400,8.6400146484375,-1.0,-0.34056741072321367,-0.5244129313758528,1.0,1.0,0.0,0.8136071279988564,-1
136,2020-08-11,1242.22998046875,1224.280029296875,167222400,17.949951171875,1.0,-0.6478362244402186,-0.7209990288032153,1.0,1.0,0.0,0.7309985292930384,1
137,2020-08-12,1251.510009765625,1231.18994140625,135622300,20.320068359375,1.0,1.7181758583392177,0.4911967257090288,1.0,1.0,1.0,0.7685742108393098,-1
138,2020-08-13,1246.9599609375,1237.8699951171875,118711200,9.0899658203125,-1.0,-0.16506431199042812,0.9046547927079515,1.0,1.0,0.0,0.7684703976093362,-1
139,2020-08-14,1248.52001953125,1238.43994140625,110281900,10.080078125,-1.0,-0.21591326943167988,0.33169118170783574,1.0,1.0,0.0,0.7158827368530801,1
140,2020-08-17,1255.1800537109375,1245.77001953125,123977400,9.4100341796875,-1.0,0.5839729405120156,1.2624680745229133,1.0,1.0,1.0,0.7254065298540199,-1
141,2020-08-18,1255.3900146484375,1243.8599853515625,112415100,11.530029296875,-1.0,-0.0343816045724996,1.887717958358908,1.0,1.0,0.0,0.725240566004142,-1
142,2020-08-19,1254.780029296875,1243.489990234375,137716400,11.2900390625,-1.0,-0.3527914340243789,-0.18670118654585494,1.0,1.0,0.0,0.7078751370574824,-1
143,2020-08-20,1244.199951171875,1238.8499755859375,121637200,5.3499755859375,-1.0,-0.2882048285799153,-0.3098150153241888,1.0,1.0,0.0,0.7048060583038738,1
144,2020-08-21,1244.8699951171875,1233.8800048828125,151728000,10.989990234375,-1.0,0.0877560936872223,-0.006431420049691803,1.0,1.0,0.0,0.6555058092354052,-1
145,2020-08-24,1248.0,1229.3299560546875,140726800,18.6700439453125,1.0,-0.5373576122126676,-1.1211800250882236,1.0,1.0,0.0,0.6509219852823195,1
146,2020-08-25,1245.5699462890625,1238.56005859375,139068800,7.0098876953125,-1.0,0.7003950440112635,-0.394391664017012,1.0,1.0,0.0,0.6664905266944626,-1
147,2020-08-26,1244.9100341796875,1230.4200439453125,137927700,14.489990234375,1.0,-0.12207913751657974,-0.1637756841520468,1.0,1.0,0.0,0.6242362982739786,1
