tweet_timestamp,count,sent_-2,sent_-1,sent_0,sent_1,sent_2,emo_A,emo_F,emo_H,emo_S,valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity
2020-09-02,93042,4219,54231,13921,19960,711,27981,24803,20671,5666,0.45157946948689515,0.447504675307923,0.4464673373315302,0.2915381548118028,0.4189567937060732
2020-09-03,122750,6104,69234,18078,28509,825,37597,30278,29334,7463,0.4528170835030395,0.4449082851323829,0.4462086924643488,0.2935718289205651,0.4170048961303424
2020-09-04,96499,4422,53349,14579,23265,884,27839,24123,24149,5809,0.4566242758992386,0.4428203401071524,0.4425734256313628,0.2977695520160819,0.416318770142691
2020-09-05,66985,3284,38183,9855,15097,566,20384,16733,15663,4350,0.4528402030305203,0.4429312831230936,0.446153511980296,0.2966974247965926,0.4179253862805097
2020-09-06,59183,3025,34791,8516,12376,475,18881,14958,12851,3977,0.4488552455941753,0.4438680702228608,0.448042377033947,0.293827839075414,0.4195439230860227
2020-09-07,66909,3232,38698,9492,14751,736,20747,17004,15487,4179,0.4523246947346341,0.4431554349937972,0.4463871526999354,0.2961523113482535,0.4190039307118609
2020-09-08,92395,4139,51373,14380,21821,682,26806,23413,22503,5293,0.4559199740245716,0.4429308187672453,0.4422936089615237,0.2955423345419125,0.4147714162021791
2020-09-09,121102,5668,71368,18349,24990,727,40111,30065,25717,6860,0.4496099073508333,0.447246081815323,0.453160187280141,0.2882199055341757,0.4202500041287491
2020-09-10,136036,6916,83311,18885,26165,759,48380,33931,26924,7916,0.4441081110882351,0.4516039945308565,0.4593575744655842,0.2823166735275924,0.4255560366373576
2020-09-11,109979,5586,64370,16051,23293,679,35139,27069,23972,7748,0.4483513670791658,0.4478080360796199,0.4521077933059879,0.2904501768519448,0.4247166004418997
2020-09-12,79623,3999,47244,11548,16332,500,26507,19163,16832,5573,0.44779528528189194,0.445526820139905,0.45243461060246026,0.29030609246072253,0.42294872084698776
2020-09-13,79840,4343,48189,11377,15397,534,27864,19134,15931,5534,0.4437638401803654,0.4456142409819625,0.4552364353707418,0.2884273421843738,0.4236541332665318
2020-09-14,97953,4629,55650,14597,22312,765,31085,23629,23077,5565,0.4533336600206267,0.4442080895939805,0.4472780619276709,0.2927172929874481,0.4169739466887191
2020-09-15,100324,4160,55460,15549,24341,814,30349,23494,25155,5777,0.458322265858615,0.4396575595071976,0.4433973226745257,0.2968521291017142,0.4139209561022295
2020-09-16,116832,4769,64012,19673,27626,752,35142,27057,28378,6582,0.4580224510408063,0.4396682929334422,0.443870455012318,0.2950961209257743,0.4130921322925267
2020-09-17,113160,5022,64039,17344,26019,736,34944,27846,26755,6271,0.4541994962884336,0.4442156062212744,0.4471765288087636,0.2908783050547911,0.4169085454224062
2020-09-18,105824,4429,59429,16790,24403,773,33436,24260,25176,6162,0.4561980741608581,0.4395054052010916,0.446129885470222,0.2953469723314184,0.415374867704867
2020-09-19,55902,2807,31979,8418,12252,446,17521,12868,12698,4397,0.451874655647385,0.4409732567707761,0.4466912096168309,0.2966460233980902,0.4203226897069844
2020-09-20,55292,2791,31908,7997,12169,427,17899,12803,12596,3997,0.4507888121247176,0.4403159950806607,0.4481000325544427,0.296889676625911,0.4198257252405425
